idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
1992,-3.6670423889494073,-3.9780298155529947,-3.6670423889494073,-3.978029815552995,-3.547223553926847,-3.6843606121216084
1993,-3.831647715280134,-4.170069362938843,-3.831647715280134,-4.170069362938843,-3.8352828750056194,-3.876400159507457
1994,-3.617412854689318,-3.9201286922495573,-3.617412854689318,-3.9201286922495577,-3.460371868971691,-3.626459488818171
1995,-3.3027544533206123,-3.5530272239860676,-3.3027544533206123,-3.5530272239860676,-2.9097196665764553,-3.259358020554681
1996,-3.6360160546916696,-4.002995699764428,-3.6360160546916696,-4.002995699764428,-3.4452312737371855,-3.650592655646764
1997,-3.687067603499108,-4.064257558333354,-3.687067603499108,-4.064257558333354,-3.5473343713520626,-3.7118545142156902
1998,-3.698678119810307,-4.078190177906793,-3.698678119810307,-4.078190177906793,-3.5705554039744603,-3.7257871337891286
1999,-3.6312867488194356,-3.9973205327177466,-3.6312867488194356,-3.9973205327177466,-3.435772661992717,-3.6449174886000835
2000,-3.625919576117082,-3.9300532005819497,-3.625919576117082,-3.9300532005819497,-3.4752586314702785,-3.6363839971505634
2001,-3.659362786953698,-3.969070279891335,-3.659362786953698,-3.969070279891335,-3.5337842504343566,-3.6165088322028267
2002,-3.7175214554555116,-4.0369220598101165,-3.7175214554555116,-4.036922059810117,-3.63556192031253,-3.6843606121216084
2003,-3.8821267817862384,-4.2289616071959655,-3.8821267817862384,-4.2289616071959655,-3.9236212413913023,-3.876400159507457
2004,-3.6678919211954226,-3.979020936506679,-3.6678919211954226,-3.97902093650668,-3.548710235357374,-3.626459488818171
2005,-3.3532335198267167,-3.61191946824319,-3.3532335198267167,-3.61191946824319,-2.9980580329621382,-3.259358020554681
2006,-3.6949082989487914,-4.073666392872974,-3.6949082989487914,-4.073666392872974,-3.5630157622514296,-3.650592655646764
2007,-3.74595984775623,-4.134928251441901,-3.74595984775623,-4.134928251441901,-3.6651188598663063,-3.7118545142156902
2008,-3.7575703640674294,-4.148860871015339,-3.7575703640674294,-4.148860871015339,-3.6883398924887043,-3.7257871337891286
2009,-3.6901789930765574,-4.067991225826293,-3.6901789930765574,-4.067991225826293,-3.553557150506961,-3.6449174886000835
2010,-3.676398642623187,-3.9889454448390715,-3.676398642623187,-3.9889454448390715,-3.5635969978559614,-3.6363839971505634
2011,-3.6870735654502793,-4.001399521470679,-3.6870735654502793,-4.001399521470679,-3.3699099621393636,-3.7580875993121663
2012,-3.7452322339520925,-4.069251301389461,-3.7452322339520925,-4.069251301389461,-3.471687632017537,-3.825939379230949
2013,-3.9098375602828197,-4.261290848775309,-3.9098375602828197,-4.261290848775309,-3.7597469530963092,-4.017978926616797
2014,-3.695602699692003,-4.0113501780860235,-3.695602699692003,-4.0113501780860235,-3.384835947062381,-3.768038255927511
2015,-3.3809442983232976,-3.644248709822534,-3.3809442983232976,-3.644248709822534,-2.8341837446671456,-3.400936787664021
2016,-3.727237540528136,-4.112461482768188,-3.727237540528136,-4.112461482768188,-3.3445167111914387,-3.820487176177972
2017,-3.778289089335575,-4.173723341337114,-3.778289089335575,-4.173723341337114,-3.446619808806316,-3.8817490347468984
2018,-3.7898996056467738,-4.187655960910552,-3.7898996056467738,-4.187655960910552,-3.4698408414287143,-3.895681654320337
2019,-3.7225082346559026,-4.106786315721506,-3.7225082346559026,-4.106786315721506,-3.3350580994469703,-3.814812009131291
2020,-3.7041094211197674,-4.0212746864184155,-3.7041094211197674,-4.0212746864184155,-3.3997227095609683,-3.7779627642599025
2021,-3.7302369493984564,-4.051756802743553,-3.7302369493984564,-4.051756802743553,-3.4454458840486737,-3.7580875993121663
2022,-3.78839561790027,-4.119608582662335,-3.78839561790027,-4.119608582662335,-3.547223553926847,-3.825939379230949
2023,-3.953000944230997,-4.311648130048183,-3.953000944230997,-4.311648130048183,-3.8352828750056194,-4.017978926616797
2024,-3.73876608364018,-4.061707459358897,-3.73876608364018,-4.061707459358897,-3.460371868971691,-3.768038255927511
2025,-3.424107682271475,-3.694605991095407,-3.424107682271475,-3.694605991095407,-2.9097196665764553,-3.400936787664021
2026,-3.7775948218010096,-4.172890220295636,-3.7775948218010096,-4.172890220295636,-3.4452312737371855,-3.820487176177972
2027,-3.8286463706084484,-4.234152078864562,-3.8286463706084484,-4.234152078864562,-3.5473343713520626,-3.8817490347468984
2028,-3.840256886919647,-4.248084698438001,-3.840256886919647,-4.248084698438001,-3.5705554039744603,-3.895681654320337
2029,-3.772865515928776,-4.167215053248954,-3.772865515928776,-4.167215053248954,-3.435772661992717,-3.814812009131291
2030,-3.7472728050679445,-4.071631967691289,-3.7472728050679445,-4.071631967691289,-3.4752586314702785,-3.7779627642599025
2031,-3.7807160159045607,-4.110649047000674,-3.7807160159045607,-4.110649047000674,-3.5337842504343566,-3.7580875993121663
2032,-3.8388746844063744,-4.178500826919456,-3.8388746844063744,-4.178500826919456,-3.63556192031253,-3.825939379230949
2033,-4.003480010737102,-4.370540374305304,-4.003480010737102,-4.370540374305304,-3.9236212413913023,-4.017978926616797
2034,-3.789245150146285,-4.120599703616019,-3.789245150146285,-4.120599703616019,-3.548710235357374,-3.768038255927511
2035,-3.4745867487775794,-3.753498235352529,-3.4745867487775794,-3.753498235352529,-2.9980580329621382,-3.400936787664021
2036,-3.8364870660581314,-4.243560913404181,-3.8364870660581314,-4.243560913404181,-3.5630157622514296,-3.820487176177972
2037,-3.8875386148655706,-4.304822771973107,-3.8875386148655706,-4.304822771973107,-3.6651188598663063,-3.8817490347468984
2038,-3.899149131176769,-4.318755391546547,-3.899149131176769,-4.318755391546547,-3.6883398924887043,-3.895681654320337
2039,-3.831757760185898,-4.237885746357501,-3.831757760185898,-4.237885746357501,-3.553557150506961,-3.814812009131291
2040,-3.7977518715740493,-4.130524211948411,-3.7977518715740493,-4.130524211948411,-3.5635969978559614,-3.7779627642599025
2041,-3.4768331993937185,-3.8119762734068865,-3.4768331993937185,-3.8119762734068865,-3.3699099621393636,-3.520001966816671
2042,-3.544684979312501,-3.8933984093094254,-3.544684979312501,-3.8933984093094254,-3.471687632017537,-3.6014241027192098
2043,-3.736724526698349,-4.123845866172443,-3.736724526698349,-4.123845866172443,-3.7597469530963092,-3.8318715595822277
