idx,construction_score,construction_logprob,default_nan_score,default_nan_logprob,order_swap_score,order_swap_logprob,no_article_score,no_article_logprob,no_modifier_score,no_modifier_logprob,no_numeral_score,no_numeral_logprob
1,3.7998411868859243,-5.04892625609644,2.3784567315696474,-7.140164880405321,1.4940724098180524,-6.950577842056704,2.9141120757667016,-6.604509536208266,1.4140148825031968,-5.259287892935567,3.2911357586882364,-5.89743470660966
2,3.8957504437781423,-5.164360962698538,2.0333993443457725,-7.749402221997089,1.2180265000389539,-7.437967715330119,3.0339986468819724,-6.748802919460889,1.4392027389284685,-5.586339975667489,2.946078508709131,-6.506671910956661
3,3.872854625473411,-5.110786644613775,2.912056824591134,-6.77515707126486,1.9209524842352437,-6.658571594744335,3.0053788740010585,-6.681835021854935,1.440123580520705,-5.457968906759429,3.8247358517097254,-5.532426897469199
4,3.6446973738378694,-5.031335868859435,1.8410182743069798,-7.4616855873116625,1.064121644007919,-7.207794407581778,2.7201823094566313,-6.582521552162011,0.9221123991596952,-5.463300042470636,2.753697438670338,-6.218955276271235
5,3.76022880311125,-5.222232139933917,2.0845573190376463,-7.601181168015824,1.258952879792453,-7.319390872145107,2.864596596048357,-6.821141891005113,1.2676518885223977,-5.628473387021038,2.9972364834010037,-6.358450856975397
6,3.5618963591343538,-5.4257070585548695,2.5000288910491317,-7.19213768930941,1.5732936497754964,-7.010192576806119,3.0061344762982607,-6.686032104060281,1.0897930485978111,-5.814903018019051,3.2911357586882364,-5.89743470660966
7,3.616604956704985,-5.582342424478554,2.154971503825257,-7.801375030901179,1.2972477399963978,-7.497582450079534,3.0745202232615485,-6.881826311464887,1.1295401958429494,-6.127395809931106,2.946078508709131,-6.506671910956661
8,3.6215326052257737,-5.500944639568272,3.033628984070618,-6.8271298801689495,2.0001737241926874,-6.71818632949375,3.080679783912534,-6.780079080327034,1.2102738099857326,-5.919211968472498,3.8247358517097254,-5.532426897469199
9,3.5635684712248334,-5.25130074617933,1.9625904337864641,-7.513658396215752,1.1433428839653643,-7.267409142331192,3.0082246164113586,-6.468024213590858,1.1243450203029894,-5.492460712505441,2.753697438670338,-6.218955276271235
10,3.6095876770634105,-5.5117092406886155,2.2061294785171306,-7.6531539769199135,1.3381741197498969,-7.379005606894522,3.06574862370958,-6.793534831727464,1.1939502466906156,-5.933568320030918,2.9972364834010037,-6.358450856975397
11,3.0591976610140903,-6.093212352002064,2.4681098824356837,-7.43006494208152,1.561016397127642,-7.1872764247809044,2.377760966403163,-7.520413858114041,0.8482095127342669,-6.331164212760814,3.2911357586882364,-5.89743470660966
12,2.828828566270194,-6.534925410240277,2.1230524952118106,-8.039302283673289,1.2849704873485437,-7.674666298054319,2.0897995979732915,-8.072555180911808,0.4642610214944393,-7.067352643157835,2.946078508709131,-6.506671910956661
13,2.991402031583789,-6.295881808537187,3.001709975457172,-7.065057132941059,1.9878964715448333,-6.895270177468535,2.293016429615286,-7.773750678782945,0.7352167970170965,-6.668946640319352,3.8247358517097254,-5.532426897469199
14,3.315631853224967,-5.664043959506128,1.930671425173018,-7.751585648987862,1.1310656313175103,-7.444492990305977,2.69830370666676,-6.98395336749412,1.3836011252414704,-5.507882266445178,2.753697438670338,-6.218955276271235
15,3.133823429068973,-6.152280084009985,2.1742104699036844,-7.891081229692023,1.3258968671020426,-7.556089454869307,2.471043176471767,-7.594248523123941,0.9725857928257385,-6.429610432774013,2.9972364834010037,-6.358450856975397
16,1.6566223183459083,-6.5831506821718,-0.3355783448913421,-9.265492089910966,-0.7625499779655867,-8.497176489598784,0.48552598446196765,-8.444387760557657,1.4140148825031968,-5.259287892935567,0.6763163507661325,-7.813529198684066
17,1.7765088894611791,-6.7274440654244225,-0.34877693470024695,-9.630930618877064,-0.7724489203222653,-8.771255386323357,0.6453747459489966,-8.63677893822782,1.4392027389284685,-5.586339975667489,0.6631177609572276,-8.178967727650162
18,1.7478891165802661,-6.660476167818468,-0.46051172128292944,-9.615215178143922,-0.8562500102592772,-8.759468805773501,0.6072150487744447,-8.547488408086549,1.440123580520705,-5.457968906759429,0.5513829743745452,-8.163252286917022
19,1.462692552035838,-6.561162698125544,-0.6052846620992606,-9.247308073310451,-0.9648297158715256,-8.483538477148398,0.2269529627152084,-8.415070448495984,0.9221123991596952,-5.463300042470636,0.40661003355821396,-7.795345182083551
20,1.6071068386275638,-6.7997830369686465,-0.28056593579170414,-9.433302180916,-0.7212906711408582,-8.623034057852559,0.4195053448375094,-8.733230900286786,1.2676518885223977,-5.628473387021038,0.7313287598657704,-7.981339289689099
