idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
1,1.6522702128697788,1.0320300117726697,0.6482075354931522,1.2643885270352735,0.6134215355167401,1.4362955102765143
2,1.693709772318579,0.8826971039631566,0.5287412092455419,1.3161879763462743,0.6244133909609899,1.2869626024670016
3,1.6842987350784933,1.2625925076045466,0.8326575321586538,1.3044241797961664,0.6251411433523906,1.6668580061083915
4,1.5859992884010858,0.7992229108857476,0.46196185478361507,1.1815498714494073,0.401306484730906,1.2034884093895926
5,1.63558184167634,0.9049344608629939,0.5465310947654118,1.2435280630434749,0.5503884704956525,1.3091999593668389
6,1.5524056851257937,1.0857100775908872,0.6826298882423312,1.3047928503226691,0.47401231602338756,1.4362955102765143
7,1.5749681674719334,0.936377169781375,0.5631635619947204,1.3329959532553435,0.4895282434789494,1.2869626024670016
8,1.5789412340068716,1.316272573422765,0.8670798849078332,1.3379622864240162,0.5271189255324189,1.6668580061083915
9,1.5532658985050012,0.852902976703966,0.496384207532794,1.3058681170466784,0.489093720239385,1.2034884093895926
10,1.5738908464183168,0.9586145266812123,0.5809534475145912,1.3316493019383229,0.5202012657473767,1.3091999593668389
11,1.3382683746782917,1.0705873129560404,0.676988003972808,1.0371212122632913,0.37248391871789943,1.4362955102765143
12,1.2347144381859305,0.9212544051465272,0.5575216777251981,0.9076787916478395,0.19989402456396377,1.2869626024670016
13,1.305296553564252,1.301149808787918,0.86143800063831,0.9959064358707419,0.3175308835278341,1.6668580061083915
14,1.4478214963445475,0.8377802120691191,0.49074232326327083,1.174062614346111,0.6013942045155214,1.2034884093895926
15,1.367184995397695,0.9434917620463654,0.575311563245068,1.073266988162545,0.42067828658357165,1.3091999593668389
16,0.7238445487089771,-0.1470973775384561,-0.33209362556007127,0.21079203629516208,0.6134215355167401,0.29863838714357316
17,0.7756439980199783,-0.15269738890532203,-0.33629363408522117,0.2798579687098308,0.6244133909609899,0.29303837577670677
18,0.7638802014698705,-0.20125655833297307,-0.3727130111559589,0.2641729066430196,0.6251411433523906,0.24447920634905618
19,0.6410058931231113,-0.2639963130085343,-0.41976782716263017,0.1003404955140077,0.401306484730906,0.18173945167349492
20,0.7029840847171789,-0.12304742075982045,-0.3140561579760943,0.18297808430609797,0.5503884704956525,0.32268834392220924
21,0.655268782570332,-0.0755239564474981,-0.2890656846235973,0.11935760197077538,0.47401231602338756,0.29863838714357316
22,0.6834719153053292,-0.08112396781436537,-0.2932656931487472,0.1569617789507718,0.4895282434789494,0.29303837577670677
23,0.6884382484740019,-0.12968313724201508,-0.3296850702194849,0.16358355650900203,0.5271189255324189,0.24447920634905618
24,0.6563440790966641,-0.19242289191757722,-0.3767398862261562,0.12079133067255166,0.489093720239385,0.18173945167349492
25,0.6821252639883086,-0.051473999668862014,-0.2710282170396203,0.15516624386141142,0.5202012657473767,0.32268834392220924
26,0.6056516477133926,-0.09568764262729523,-0.2961180399605019,0.053201422161523126,0.37248391871789943,0.29863838714357316
27,0.4762092270979412,-0.10128765399416118,-0.3003180484856518,-0.11938847199241209,0.19989402456396377,0.29303837577670677
28,0.5644368713208436,-0.14984682342181177,-0.3367374255563895,-0.0017516130285422093,0.3175308835278341,0.24447920634905618
29,0.7425930497962128,-0.21258657809737347,-0.3837922415630608,0.23578995827194982,0.6013942045155214,0.18173945167349492
30,0.6417974236126467,-0.0716376858486596,-0.27808057237652495,0.1013957900271949,0.42067828658357165,0.32268834392220924
31,0.6924851109099501,0.05129182985703107,-0.18330172001345613,0.17025173357407208,0.6134215355167401,0.3353297300065896
32,0.7442845602209514,0.045691977435883935,-0.18750160932931648,0.23931766598873994,0.6244133909609899,0.3297298775854425
33,0.732520763670844,-0.0028671919917657718,-0.22392098640005376,0.22363260392193052,0.6251411433523906,0.2811707081577923
34,0.6096464553240848,-0.06560694666732791,-0.27097580240672503,0.05980019279291815,0.401306484730906,0.21843095348223107
35,0.6716246469181519,0.07534178663566626,-0.16526425242947917,0.14243778158500708,0.5503884704956525,0.3593796867852257
36,0.6827872897175937,-0.03756025310067734,-0.2605929071134816,0.157321384790456,0.47401231602338756,0.3353297300065896
37,0.7109904224525909,-0.04316010552182448,-0.26479279642934195,0.19492556177045284,0.4895282434789494,0.3297298775854425
38,0.7159567556212636,-0.09171927494947507,-0.30121217350007967,0.20154733932868263,0.5271189255324189,0.2811707081577923
39,0.6838625862439258,-0.15445902962503633,-0.34826698950675095,0.1587551134922327,0.489093720239385,0.21843095348223107
40,0.7096437711355703,-0.013510296322041704,-0.24255543952950465,0.19313002668109158,0.5202012657473767,0.3593796867852257
41,0.6331702740699447,-0.05772393928047315,-0.26764526245038534,0.09116528445406491,0.37248391871789943,0.3353297300065896
42,0.5037278534544933,-0.06332379170162028,-0.2718451517662457,-0.08142460969987031,0.19989402456396377,0.3297298775854425
43,0.5919554976773957,-0.11188296112926999,-0.3082645288369834,0.036212249263999574,0.3175308835278341,0.2811707081577923
44,0.7701116761527649,-0.17462271580483257,-0.3553193448436547,0.2737538205644916,0.6013942045155214,0.21843095348223107
45,0.6693160499691988,-0.03367398250183751,-0.24960779486640838,0.13935965231973668,0.42067828658357165,0.3593796867852257
46,1.1180535020927165,0.5990491842228001,0.30182287345325687,0.882208797832114,0.6134215355167401,0.8829586256351427
47,1.068870493411024,0.5226813023150818,0.24072856792708208,0.8207300369799988,0.6244133909609899,0.8065907437274245
48,1.1010598742617579,0.554203352475179,0.2659462080551598,0.8609667630434163,0.6251411433523906,0.8381127938875217
49,1.1169446164271246,0.4867273891220112,0.21196543737262585,0.880822690750124,0.401306484730906,0.7706368305343538
50,1.010742562768785,0.6018482475327902,0.3040621241012489,0.7480701236771994,0.5503884704956525,0.8857576889451328
51,0.9991789073626478,0.652729369250308,0.33624532156986797,0.733615554419528,0.47401231602338756,0.8829586256351427
52,1.021741389708787,0.5763614873425897,0.27515101604369274,0.7618186573522028,0.4895282434789494,0.8065907437274245
53,1.1071728340818603,0.607883537502687,0.3003686561717709,0.8686079628185439,0.5271189255324189,0.8381127938875217
54,1.032241865225803,0.5404075741495191,0.2463878854892365,0.7749442517484724,0.489093720239385,0.7706368305343538
55,1.1975207771817824,0.6555284325602981,0.33848457221785955,0.9815428916934463,0.5202012657473767,0.8857576889451328
56,0.901416471030136,0.6376066046154603,0.33060334193291263,0.611412509003888,0.37248391871789943,0.8829586256351427
57,0.7978625345377743,0.561238722707742,0.2695090364067374,0.4819700883884366,0.19989402456396377,0.8065907437274245
58,0.8684446499160963,0.5927607728678392,0.2947266765348151,0.570197732611339,0.3175308835278341,0.8381127938875217
59,1.069058467513286,0.5252848095146714,0.24074590585228073,0.8209650046078263,0.6013942045155214,0.7706368305343538
60,0.9303330917495387,0.6404056679254504,0.3328425925809042,0.647558284903142,0.42067828658357165,0.8857576889451328
61,0.5140750562798995,-0.1303269552654185,-0.3195158088552934,0.14905853197314745,0.6134215355167401,0.09744981611224146
62,0.5658745055909007,-0.13592696663228576,-0.3237158173804433,0.2181244643878153,0.6244133909609899,0.09184980474537463
63,0.5541107090407928,-0.18448613605993547,-0.36013519445118103,0.202439402321005,0.6251411433523906,0.04329063531772448
64,0.4312364006940337,-0.2472258907354976,-0.4071900104578523,0.03860699119199307,0.401306484730906,-0.01944911935783722
