idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
1,1.7832411133066983,2.4003559108726362,0.5318539273545995,2.4003559108726362,-0.76998242782487,1.6855890578179071
2,1.9584553090659356,2.0548256803688645,0.707068123113838,2.0548256803688645,-0.4779587682261403,1.9046068025169545
3,1.8319090651740964,2.9342021936676055,0.5805218792219975,2.9342021936676055,-0.68886917471254,1.7464239976521547
4,1.7507527358495267,1.8630529233594757,0.49936544010161443,1.8630529233594757,-0.8241299065798463,1.6449785859964425
5,2.107285728241334,2.1063636057076156,1.0121355141046267,2.1063636057076156,0.03048670043215414,2.0906448264861996
6,2.793395403618342,2.9903768667676722,1.0566602720293061,2.9903768667676722,-0.49267145071433777,1.6855890578179071
7,2.9686095993775803,2.6448466362638987,1.2318744677885447,2.6448466362638987,-0.20064779111560682,1.9046068025169545
8,2.8420633554857404,3.5242231495626415,1.1053282238967044,3.5242231495626415,-0.4115581976020077,1.7464239976521547
9,2.7609070261611706,2.45307387925451,1.0241717847763212,2.45307387925451,-0.5468189294693128,1.6449785859964425
10,2.579302492957362,2.69638456160265,1.4319768417432557,2.69638456160265,0.13285616547557547,2.0906448264861996
11,1.847738939613923,2.480978193756667,0.7251052413873523,2.480978193756667,-0.44182300004926134,1.6855890578179071
12,2.022953135373162,2.1354479632528953,0.9003194371465909,2.1354479632528953,-0.14979934045053037,1.9046068025169545
13,1.896406891481321,3.0148244765516363,0.7737731932547505,3.0148244765516363,-0.3607097469369312,1.7464239976521547
14,1.8152505621567514,1.9436752062435065,0.6926168639301806,1.9436752062435065,-0.49597029581121416,1.6449785859964425
15,2.1717835545485586,2.1869858885916464,1.1213767812388156,2.1869858885916464,0.21862956636984285,2.0906448264861996
16,-0.7921603803267399,-0.3242270300075691,-1.5067344526802664,-0.3242270300075691,-0.76998242782487,-1.7808302855229385
17,-0.5731427728724583,-0.3377233962089292,-1.2877167079812182,-0.3377233962089292,-0.4779587682261403,-1.488806808917231
18,-0.7313255777372589,-0.4494691520775831,-1.4458995128460188,-0.4494691520775831,-0.68886917471254,-1.6997172154036317
19,-0.8327709893929711,-0.5934204055547809,-1.5473450617464977,-0.5934204055547809,-0.8241299065798463,-1.8349777642779148
20,-0.15834867178752177,-0.2690061624239277,-0.9063824692427325,-0.2690061624239277,0.03048670043215414,-0.9357480074706478
21,-0.6632772079717792,-0.1523828002009561,-1.4956238966273876,-0.1523828002009561,-0.49267145071433777,-1.7808302855229385
22,-0.4442596005174977,-0.16587916640231506,-1.2766061519283394,-0.16587916640231506,-0.20064779111560682,-1.488806808917231
23,-0.6024424053822983,-0.27762492227097013,-1.43478895679314,-0.27762492227097013,-0.4115581976020077,-1.6997172154036317
24,-0.7038878170380123,-0.42157617574816797,-1.5362345056936189,-0.42157617574816797,-0.5468189294693128,-1.8349777642779148
25,-0.029465499432562936,-0.09716193261731358,-1.0264781844849544,-0.09716193261731358,0.13285616547557547,-0.9357480074706478
26,-0.711538097442709,-0.2167306528288601,-1.4017366757913692,-0.2167306528288601,-0.44182300004926134,-1.7808302855229385
27,-0.49252048998842746,-0.23022701903022144,-1.1827189310923227,-0.23022701903022144,-0.14979934045053037,-1.488806808917231
28,-0.6507032948532281,-0.3419727748988741,-1.3409017359571216,-0.3419727748988741,-0.3607097469369312,-1.6997172154036317
29,-0.7521487065089403,-0.4859240283760731,-1.4423471476128356,-0.4859240283760731,-0.49597029581121416,-1.8349777642779148
30,-0.07772638890348915,-0.16150978524521994,-0.9063972509770419,-0.16150978524521994,0.21862956636984285,-0.9357480074706478
31,1.3449347135606367,0.13206426035349494,-1.5715467691146738,0.13206426035349494,-0.76998242782487,0.7080100659436172
32,0.16338512444883424,0.1185682601381804,-1.3525290244156256,0.1185682601381804,-0.4779587682261403,-0.8673893862054527
33,0.005202319584034498,0.0068225042695265374,-1.5107118292804262,0.0068225042695265374,-0.68886917471254,-1.0782997926918536
34,1.1301744947301886,-0.1371287492076713,-1.612157378180905,-0.1371287492076713,-0.8241299065798463,0.4216631075030198
35,0.3016625872660388,0.18728512793713747,-0.9711947856771399,0.18728512793713747,0.03048670043215414,-0.6830194357825121
36,1.2033530556281375,-0.056711100563481644,-1.4238698474097493,-0.056711100563481644,-0.49267145071433777,0.7080100659436172
37,0.021803466516335135,-0.07020710077879737,-1.204852102710701,-0.07020710077879737,-0.20064779111560682,-0.8673893862054527
38,-0.1363793383484655,-0.18195285664745123,-1.3630349075755017,-0.18195285664745123,-0.4115581976020077,-1.0782997926918536
39,0.9885928367976895,-0.3259041101246491,-1.4644804564759806,-0.3259041101246491,-0.5468189294693128,0.4216631075030198
40,0.1600809293335388,-0.0014902329798403002,-0.9547241352673161,-0.0014902329798403002,0.13285616547557547,-0.6830194357825121
41,1.1550921661572113,-0.12105895319138327,-1.3299829010632642,-0.12105895319138327,-0.44182300004926134,0.7080100659436172
42,-0.02645742295459108,-0.13455495340669898,-1.110965156364216,-0.13455495340669898,-0.14979934045053037,-0.8673893862054527
43,-0.1846402278193917,-0.24630070927535286,-1.2691479612290166,-0.24630070927535286,-0.3607097469369312,-1.0782997926918536
44,0.9403319473267633,-0.3902519627525507,-1.3705933728847288,-0.3902519627525507,-0.49597029581121416,0.4216631075030198
45,0.11182003986261257,-0.06583808560774192,-0.834643476248937,-0.06583808560774192,0.21862956636984285,-0.6830194357825121
46,0.7310494905088148,1.3917353956433853,-0.07820977372479376,1.3917353956433853,-0.76998242782487,0.37034952932055365
47,1.0694955846503802,1.2157990721235326,0.0970044220344434,1.2157990721235326,-0.4779587682261403,0.7934071469975104
48,0.779717442376213,1.2884114584931874,-0.02954182185739569,1.2884114584931874,-0.68886917471254,0.43118446915480035
49,0.7826348415218802,1.1331228662550732,-0.11069826097777877,1.1331228662550732,-0.8241299065798463,0.4348312180868845
50,1.4777356858221438,1.39812933854152,0.4020719228210467,1.39812933854152,0.03048670043215414,1.3037072734622113
51,0.8341560283927819,1.5206185679983442,-0.00728175359797234,1.5206185679983442,-0.49267145071433777,0.37034952932055365
52,1.1726021225343473,1.3446822444784914,0.16793244216126482,1.3446822444784914,-0.20064779111560682,0.7934071469975104
53,0.88282398026018,1.4172946308481462,0.041386198269424315,1.4172946308481462,-0.4115581976020077,0.43118446915480035
54,0.8857413794058473,1.262006038610032,-0.03977024085095735,1.262006038610032,-0.5468189294693128,0.4348312180868845
55,1.5808422237061095,1.527012510896479,0.3680348161159756,1.527012510896479,0.13285616547557547,1.3037072734622113
56,0.7955473168160395,1.472357678527417,-0.08489564741502562,1.472357678527417,-0.44182300004926134,0.37034952932055365
57,1.1339934109576049,1.2964213550075643,0.09031854834421296,1.2964213550075643,-0.14979934045053037,0.7934071469975104
58,0.8442152686834377,1.3690337413772191,-0.036227695547627545,1.3690337413772191,-0.3607097469369312,0.43118446915480035
59,0.8471326678291049,1.2137451491391058,-0.1173840248721973,1.2137451491391058,-0.49597029581121416,0.4348312180868845
60,1.542233512129367,1.4787516214255518,0.3113758924364376,1.4787516214255518,0.21862956636984285,1.3037072734622113
61,-0.7731782667074345,-0.28523131407013363,-1.6140537568897013,-0.28523131407013363,-0.76998242782487,-1.755520800697198
62,-0.5541606592531529,-0.29872731428544935,-1.395036012190653,-0.29872731428544935,-0.4779587682261403,-1.4634973240914892
