idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
11386,-1.5195917809199546,-0.12005263371346804,-1.8192106934934227,-0.12005263371346804,-1.6043120371370279,-2.163409356906314
11387,-1.5781476332717954,-0.42013387187369017,-1.8777665458452635,-0.42013387187369017,-1.6823865069394799,-2.241483826708766
11388,-1.4918226856593204,-0.08302717336595578,-1.7914415982327885,-0.08302717336595578,-1.5672865767895157,-2.1263838965588007
11389,-1.4164656330471104,0.017448896783657613,-1.7160845456205802,0.017448896783657613,-1.4668105066399022,-2.025907826409187
11390,-1.1563950039326691,-0.04571549498021928,-1.4560139165061372,-0.04571549498021928,-1.1200496678206473,-1.679146987589932
11391,-2.010004344606436,-0.7739360519621101,-1.6720144029608974,-0.7739360519621101,-2.1526602686915033,-2.163409356906314
11392,-2.068560196958275,-1.074017290122331,-1.7305702553127382,-1.074017290122331,-2.230734738493956,-2.241483826708766
11393,-1.9822352493458002,-0.7369105916145978,-1.6442453077002632,-0.7369105916145978,-2.115634808343991,-2.1263838965588007
11394,-1.9068781967335902,-0.6364345214649845,-1.5688882550880532,-0.6364345214649845,-2.0151587381943776,-2.025907826409187
11395,-1.646807567619149,-0.6995989132288614,-1.3088176259736102,-0.6995989132288614,-1.6683978993751225,-1.679146987589932
11396,-2.002109479178877,-0.7634095647253668,-1.5777210748607065,-0.7634095647253668,-2.026935831224584,-2.163409356906314
11397,-2.0606653315307195,-1.06349080288559,-1.6362769272125472,-1.06349080288559,-2.1050103010270385,-2.241483826708766
11398,-1.9743403839182445,-0.7263841043778546,-1.549951979600074,-0.7263841043778546,-1.9899103708770731,-2.1263838965588007
11399,-1.8989833313060345,-0.6259080342282436,-1.4745949269878622,-0.6259080342282436,-1.8894343007274597,-2.025907826409187
11400,-1.6389127021915932,-0.689072425992118,-1.2145242978734228,-0.689072425992118,-1.5426734619082036,-1.679146987589932
11401,2.2890418416654614,3.14937492789914,1.3099603226053753,3.14937492789914,-1.6043120371370279,2.13359825138253
11402,2.255581354607268,2.999334125826008,1.2764998355471815,2.999334125826008,-1.6823865069394799,2.0945610164813027
11403,2.3049098961001095,3.1678876580728947,1.3258283770400234,3.1678876580728947,-1.5672865767895157,2.152110981556285
11404,2.3479710690213715,3.218125693147703,1.3688895499612852,3.218125693147703,-1.4668105066399022,2.2023490166310915
11405,2.4965828570867674,3.186543314272742,1.5175013380266813,3.186543314272742,-1.1200496678206473,2.37572943604072
11406,1.9899054083579821,2.8003824223737475,1.3940724886239602,2.8003824223737475,-2.1526602686915033,2.13359825138253
11407,1.9564449212997883,2.6503416203006154,1.3606120015657654,2.6503416203006154,-2.230734738493956,2.0945610164813027
11408,2.00577346279263,2.8188951525475026,1.4099405430586072,2.8188951525475026,-2.115634808343991,2.152110981556285
11409,2.048834635713892,2.8691331876223103,1.45300171597987,2.8691331876223103,-2.0151587381943776,2.2023490166310915
11410,2.197446423779288,2.8375508087473498,1.6016135040452661,2.8375508087473498,-1.6683978993751225,2.37572943604072
11411,2.122471793454397,2.95504320498623,1.4479542335443358,2.95504320498623,-2.026935831224584,2.13359825138253
11412,2.089011306396202,2.805002402913098,1.4144937464861422,2.805002402913098,-2.1050103010270385,2.0945610164813027
11413,2.1383398478890436,2.973555935159986,1.463822287978983,2.973555935159986,-1.9899103708770731,2.152110981556285
11414,2.1814010208103065,3.023793970234793,1.5068834609002468,3.023793970234793,-1.8894343007274597,2.2023490166310915
11415,2.330012808875703,2.992211591359832,1.6554952489656418,2.992211591359832,-1.5426734619082036,2.37572943604072
11416,0.5666392612251343,1.7660871504141564,-0.10558769137404908,1.7660871504141564,-1.6043120371370279,0.43643329334824443
11417,0.5197945793436617,1.5410259473044547,-0.1524323732555203,1.5410259473044547,-1.6823865069394799,0.37787744099640364
11418,0.5888545374336402,1.7938562456747889,-0.08337241516554172,1.7938562456747889,-1.5672865767895157,0.46420238860887864
11419,0.6491401795234083,1.869213298286999,-0.023086773075775113,1.869213298286999,-1.4668105066399022,0.5395594412210887
11420,0.8571966828149626,1.821839729974558,0.18496973021577928,1.821839729974558,-1.1200496678206473,0.799630070335529
11421,0.03918877313723499,1.1067740403042805,0.012169341051972538,1.1067740403042805,-2.1526602686915033,0.43643329334824443
11422,-0.0076559087442362285,0.8817128371945806,-0.03467534082949868,0.8817128371945806,-2.230734738493956,0.37787744099640364
11423,0.061404049345742354,1.1345431355649147,0.0343846172604799,1.1345431355649147,-2.115634808343991,0.46420238860887864
11424,0.12168969143551038,1.2099001881771247,0.09467025935024793,1.2099001881771247,-2.0151587381943776,0.5395594412210887
11425,0.32974619472706335,1.1625266198646838,0.30272676264180093,1.1625266198646838,-1.6683978993751225,0.799630070335529
11426,0.13804420012833846,1.2303433240431616,0.08760378394049581,1.2303433240431616,-2.026935831224584,0.43643329334824443
11427,0.09119951824686723,1.0052821209334617,0.040759102059024596,1.0052821209334617,-2.1050103010270385,0.37787744099640364
11428,0.1602594763368444,1.258112419303794,0.10981906014900175,1.258112419303794,-1.9899103708770731,0.46420238860887864
11429,0.22054511842661242,1.333469471916004,0.17010470223877122,1.333469471916004,-1.8894343007274597,0.5395594412210887
11430,0.42860162171816685,1.2860959036035648,0.3781612055303242,1.2860959036035648,-1.5426734619082036,0.799630070335529
11431,0.6736988855018481,1.9317873267664076,-0.416016326084339,1.9317873267664076,-1.6043120371370279,-0.03986872673999997
11432,0.6268542036203769,2.843594794170178,-0.46286100796581026,2.843594794170178,-1.6823865069394799,-0.09842457909184077
11433,0.6959141617103555,1.9595564220270418,-0.39380104987583164,1.9595564220270418,-1.5672865767895157,-0.012099631479365769
11434,0.7561998038001235,2.247032672533427,-0.3335154077860622,2.247032672533427,-1.4668105066399022,0.06325742113284427
11435,0.9642563070916779,2.15899320540772,-0.12545890449450922,2.15899320540772,-1.1200496678206473,0.3233280502472837
11436,-0.34185284293336055,0.6623476662223986,0.049480845589164345,0.6623476662223986,-2.1526602686915033,-0.03986872673999997
11437,-0.3886975248148318,1.574155133626168,0.002636163707693129,1.574155133626168,-2.230734738493956,-0.09842457909184077
11438,-0.3196375667248518,0.6901167614830328,0.07169612179767171,0.6901167614830328,-2.115634808343991,-0.012099631479365769
11439,-0.2593519246350837,0.9775930119894163,0.13198176388743973,0.9775930119894163,-2.0151587381943776,0.06325742113284427
